Number,Address,Bedrooms,Baths,SquareFeet,YearBuilt,YearSold,CostPerSqFt,SalePrice
1,1510 First Ave #112 ,2,1,1120,1993,2005,6.25,7000
2,1020 Center St ,3,1,1224,1900,2006,22.06,27000
3,918 Chatterton St ,4,1,1540,1970,2006,18.18,28000
4,1023 & 1025 Spring St. ,3,1,1154,1900,2006,26,30000
5,503 2nd Ave ,3,1,1277,1900,2005,24.08,30750
6,9090 Clay St ,3,1,1079,1900,2005,38.92,42000
7,1426 Prince ,2,1,768,1955,2005,59.9,46000
8,416 Park St ,2,1.5,1152,1900,2005,42.97,49500
9,320 Park St ,3,2,912,1900,2005,54.82,50000
10,1014 Pearl St ,3,2,1488,1900,2005,33.6,50000
11,1117 4th Ave ,5,2,1720,1900,2005,30.52,52500
12,501 High ,4,1.75,2160,1880,2006,25,54000
13,820 Elm St ,3,1.5,1034,1900,2006,52.22,54000
14,1532 Davis Ave ,2,1.5,1129,1900,2005,51.37,58000
15,1421 Summer Street ,2,1,720,1950,2005,80.56,58000
16,1023 Elm St ,2,1,1008,1900,2005,58.53,59000
17,617 State St ,3,1,888,1973,2006,66.44,59000
18,705 Elm St ,4,0.75,1440,1954,2006,41.67,60000
19,602 5th Ave ,4,2.75,2105,1900,2005,28.74,60500
20,1506 Prince St ,2,1,913,1955,2005,67.91,62000
21,603 8th Ave ,3,1,1224,1900,2006,52.7,64500
22,1024 Pearl ,3,1.5,1224,1900,2005,57.19,70000
23,1016 Elm St ,3,1.5,1696,1900,2005,42.45,72000
24,917 Center St ,4,1.75,2428,1900,2005,29.65,72000
25,516 West St ,3,1,995,1900,2005,73.37,73000
26,604 Washington Ave ,2,1.75,640,1959,2005,117.19,75000
27,1814 3rd Avenue ,3,1,850,1973,2005,88.24,75000
28,1005 High St ,5,2,2064,1900,2005,36.34,75000
29,819 Prince St ,2,1,892,1900,2005,84.53,75400
30,408 5th Ave ,3,2,1416,1900,2005,53.67,76000
31,421 5th Ave ,4,2.5,2065,1900,2005,36.8,76000
32,1603 Summer St ,3,1.5,1248,1976,2005,61.3,76500
33,1314 3rd Avenue ,3,1.75,1394,1900,2005,55.6,77500
34,233 Park Street ,3,1.75,1616,1900,2005,48.27,78000
35,1211 Main St ,3,1.5,1648,1900,2005,47.33,78000
36,606 Prairie St ,3,1.75,952,1964,2005,83.51,79500
37,1332 Spring St ,3,1,1560,1900,2005,51.22,79900
38,1010 High St ,4,1,1862,1918,2005,43.23,80500
39,703 Main St ,7,0,3106,1900,2005,26.08,81000
40,1834 4th Ave. ,3,1.75,984,1957,2005,83.33,82000
41,9125 Center St ,2,1.25,1927,1925,2005,42.81,82500
42,1413 Prince St ,3,1,942,1962,2005,89.17,84000
43,832 High Street ,4,2.75,2948,1900,2005,29.85,88000
44,11 Washington Place ,3,1,810,1983,2006,108.64,88000
45,328 East St ,3,1,1040,1964,2005,86.54,90000
46,3146 40th St ,3,1.75,1682,1978,2006,53.51,90000
47,710 East St ,3,1.75,1459,1950,2005,61.69,90000
48,1317 Prince St ,3,1.5,1152,1900,2006,81.6,94000
49,1628 7th Ave ,3,1.5,1076,1950,2005,88.29,95000
50,1801 10th Ave Place ,3,1,1284,1962,2005,73.99,95000
51,3798 20th St ,2,1.75,1317,1900,2005,72.13,95000
52,722 Penrose ,3,1,1396,1975,2005,68.41,95500
53,1122 Spencer St ,3,1.5,0,1973,2005,0,97000
54,1316 5th ,3,1,1180,1957,2005,82.2,97000
55,1316 5th ,3,1,1180,1957,2005,82.2,97000
56,15173 Highway F-17 Ea,3,1.75,964,1978,2006,101.14,97500
57,1226 Elm St ,3,1,1241,1952,2006,78.97,98000
58,603 Main Street ,3,1.5,2321,1900,2005,42.65,99000
59,611 Pearl St ,3,1.5,880,1982,2005,113.64,100000
60,1130 Summer St ,3,1.5,2022,1870,2006,51.93,105000
61,298 455th Ave. ,3,1,1368,1920,2005,76.75,105000
62,515 12th Ave ,4,1.75,1108,1966,2005,97.47,108000
63,420 13th Ave ,3,1.5,1091,1961,2006,98.99,108000
64,1507 Penrose St ,4,1.5,1036,1976,2005,105.21,109000
65,507 11th Avenue ,3,1,1082,1967,2005,100.74,109000
66,1527 West St. ,3,1.75,1690,1961,2005,65.38,110500
67,1529 West St ,3,1.75,1028,1952,2006,107.49,110500
68,409 Park Street ,3,1.75,1064,1971,2006,106.67,113500
69,602 11th Ave. ,2,1.75,1132,1955,2005,100.71,114000
70,1610 Fourth Ave ,3,1.75,2143,1966,2005,54.13,116000
71,1328 Reed St ,3,1.75,1348,1956,2005,86.8,117000
72,415 12th Ave ,4,1.75,1900,1969,2005,61.84,117500
73,1715 6th Ave ,3,1.75,2300,1950,2005,51.74,119000
74,232 4th Ave W ,3,2.5,1700,2005,2005,70.29,119500
75,234 4th Ave W ,3,2.5,1700,2005,2005,70.29,119500
76,930 13th Avenue ,2,1,1144,1957,2005,106.21,121500
77,1327 Summer Street ,3,2,1794,1917,2005,68,122000
78,1509 Elm St ,3,1.5,1380,1900,2005,89.13,123000
79,1610 4th Ave ,3,1.75,2143,1966,2006,58.33,125000
80,1123 Reed St ,3,1.5,1152,1959,2006,108.51,125000
81,321 4th Ave ,5,1.5,2050,1900,2005,60.98,125000
82,812 8th Avenue ,4,2,1613,1950,2005,78.12,126000
83,1916 Belmont Drive ,3,1,1176,1978,2006,107.14,126000
84,1330 Prince Street ,3,1,1238,1957,2005,102.99,127500
85,1316 4th Ave ,3,1.5,1712,1900,2005,75.06,128500
86,1321 Patricia Ave ,3,1,1219,2003,2005,106.64,130000
87,1817 Prince St ,3,1.75,2000,1971,2005,65.5,131000
88,1628 10th Ave Place ,3,2,1793,1959,2005,73.34,131500
89,3 Melrose Ln ,3,2,1152,2000,2005,114.58,132000
90,1309 Penrose ,3,1.75,1309,1971,2005,101.6,133000
